city,fans,lights,fridges,ac_1ton,ac_15ton,tvs,washing_machine,water_pump,computers,hours_use,roof_area,total_watts,daily_kwh,kw_needed,panels_needed,system_cost_pkr,monthly_saving_pkr,monthly_bill_pkr,payback_years
Peshawar,2,12,3,2,2,4,2,1,3,12,931,10530,126.36,30.4,76,4560000,189540,246402,2.0
Faisalabad,6,4,3,3,2,1,0,0,2,13,891,9960,129.48,31.7,80,4755000,194220,252486,2.0
Sialkot,7,14,3,2,0,4,2,1,3,9,1365,6935,62.42,15.9,40,2385000,93622,121709,2.1
Hyderabad,2,19,3,1,1,3,1,0,3,16,832,5785,92.56,21.4,54,3210000,138840,180492,1.9
Bahawalpur,2,13,3,2,1,1,0,0,0,13,821,5895,76.63,15.7,40,2355000,114952,149438,1.7
Quetta,7,9,3,1,1,2,0,0,2,11,1124,5210,57.31,11.0,28,1650000,85965,111754,1.6
Karachi,1,12,2,0,0,1,0,1,1,10,1476,1605,16.05,3.6,9,540000,24075,31297,1.9
Islamabad,8,4,3,3,2,1,2,1,0,17,1635,11460,194.82,50.7,127,7605000,292230,379899,2.2
Sukkur,3,7,1,2,1,1,0,0,1,12,1617,5780,69.36,14.0,35,2100000,104040,135252,1.7
Gujranwala,6,19,2,2,2,3,2,0,3,11,897,9935,109.29,27.3,69,4095000,163927,213105,2.1
Faisalabad,9,7,3,3,2,1,2,1,3,8,412,12180,97.44,23.9,60,3585000,146160,190008,2.0
Swat,6,18,1,3,0,4,1,0,1,10,1435,6470,64.7,17.6,44,2640000,97050,126165,2.3
Sialkot,9,12,3,0,0,1,1,1,3,14,1498,3255,45.57,11.6,29,1740000,68355,88861,2.1
Peshawar,7,14,1,0,2,1,0,0,3,12,1625,5585,67.02,16.1,41,2415000,100530,130689,2.0
Faisalabad,9,8,1,2,1,4,0,1,0,17,1839,7095,120.62,29.6,74,4440000,180922,235199,2.0
Hyderabad,2,8,1,0,1,4,1,0,1,9,1033,3520,31.68,7.3,19,1095000,47520,61776,1.9
Multan,8,9,1,1,0,2,2,1,0,12,1544,4335,52.02,10.8,27,1620000,78030,101439,1.7
Karachi,8,4,2,0,0,1,2,0,1,10,1494,2260,22.6,5.1,13,765000,33899,44069,1.9
Bahawalpur,2,4,2,0,0,3,1,1,0,16,617,2060,32.96,6.8,17,1020000,49440,64272,1.7
Karachi,4,18,1,2,0,1,2,1,2,7,1295,5970,41.79,9.5,24,1425000,62685,81490,1.9
Sukkur,7,12,3,1,0,1,1,1,2,11,512,4405,48.46,9.8,25,1470000,72682,94487,1.7
Multan,4,6,1,0,0,4,1,1,1,12,552,2390,28.68,6.0,15,900000,43020,55926,1.7
Gujranwala,4,7,2,1,0,2,0,0,2,13,423,2805,36.47,9.1,23,1365000,54697,71106,2.1
Bahawalpur,6,4,3,1,1,1,0,1,0,11,1963,5310,58.41,12.0,30,1800000,87615,113899,1.7
Rawalpindi,6,12,2,1,0,3,1,1,1,13,1536,4180,54.34,14.2,36,2130000,81509,105962,2.2
Lahore,3,18,2,3,0,1,0,0,2,12,923,5795,69.54,17.4,44,2610000,104309,135603,2.1
Islamabad,9,11,3,3,1,3,1,1,2,7,1408,9740,68.18,17.8,45,2670000,102270,132951,2.2
Karachi,2,5,1,3,1,4,2,0,1,11,1839,8475,93.22,21.2,53,3180000,139837,181788,1.9
Quetta,6,11,1,3,2,2,2,1,2,14,1388,11615,162.61,31.3,79,4695000,243915,317089,1.6
Karachi,7,18,1,2,0,1,2,1,2,17,1641,6195,105.32,23.9,60,3585000,157972,205364,1.9
Faisalabad,9,19,1,0,0,2,2,1,1,11,1669,3260,35.86,8.8,22,1320000,53790,69927,2.0
Karachi,3,10,3,3,0,1,1,1,2,9,1955,7075,63.68,14.5,37,2175000,95512,124166,1.9
Sialkot,3,14,3,2,0,3,2,1,2,12,1566,6335,76.02,19.4,49,2910000,114030,148239,2.1
Karachi,7,9,3,0,2,2,2,1,2,8,1197,7460,59.68,13.6,34,2040000,89520,116376,1.9
Lahore,4,4,2,3,1,1,2,0,2,10,1460,8660,86.6,21.6,54,3240000,129900,168870,2.1
Lahore,8,18,3,0,1,4,2,0,3,6,546,5320,31.92,8.0,20,1200000,47880,62244,2.1
Gujranwala,7,10,1,3,0,3,1,1,1,15,740,7075,106.12,26.5,67,3975000,159187,206943,2.1
Peshawar,5,13,2,2,0,2,2,1,3,8,344,6420,51.36,12.3,31,1845000,77040,100152,2.0
Rawalpindi,7,10,1,1,0,1,0,0,3,13,957,3025,39.32,10.2,26,1530000,58987,76683,2.2
Quetta,3,16,1,1,2,2,0,0,0,14,1179,6315,88.41,17.0,43,2550000,132615,172399,1.6
Karachi,2,17,3,0,2,1,0,1,3,14,1316,6305,88.27,20.1,51,3015000,132405,172126,1.9
Karachi,6,12,3,2,1,3,0,1,3,15,853,7730,115.95,26.4,66,3960000,173925,226102,1.9
Islamabad,2,4,1,1,0,4,0,1,0,7,1108,3010,21.07,5.5,14,825000,31605,41086,2.2
Bahawalpur,3,5,1,3,0,3,0,1,2,9,1270,6400,57.6,11.8,30,1770000,86400,112320,1.7
Lahore,6,14,2,1,0,2,1,1,2,10,1412,4310,43.1,10.8,27,1620000,64649,84044,2.1
Quetta,5,12,3,0,0,2,0,1,3,8,1029,2555,20.44,3.9,10,585000,30660,39858,1.6
Gujranwala,8,16,2,0,2,1,2,0,0,16,1320,6240,99.84,25.0,63,3750000,149760,194688,2.1
Sukkur,9,12,2,2,1,3,0,1,2,6,1253,7605,45.63,9.2,23,1380000,68445,88978,1.7
Peshawar,3,16,2,0,1,1,1,1,0,11,1551,4115,45.26,10.9,28,1635000,67897,88266,2.0
Rawalpindi,3,9,1,1,2,3,0,0,1,15,1614,6510,97.65,25.4,64,3810000,146474,190417,2.2
Multan,3,9,2,1,0,2,2,0,1,7,1745,3560,24.92,5.2,13,780000,37380,48594,1.7
Rawalpindi,6,7,2,1,1,1,2,0,1,14,1390,5655,79.17,20.6,52,3090000,118755,154381,2.2
Sialkot,1,7,1,1,1,1,1,0,1,6,1574,4630,27.78,7.1,18,1065000,41670,54171,2.1
Faisalabad,7,8,3,2,2,3,1,1,3,16,1364,10245,163.92,40.2,101,6030000,245879,319644,2.0
Sialkot,1,6,3,3,0,4,1,0,1,14,398,6215,87.01,22.2,56,3330000,130514,169669,2.1
Karachi,5,4,2,3,1,3,1,0,1,12,1629,8235,98.82,22.5,57,3375000,148230,192699,1.9
Swat,8,18,1,2,0,4,0,1,0,16,1171,5170,82.72,22.5,57,3375000,124080,161304,2.3
Peshawar,4,4,3,0,1,3,0,0,2,15,1779,3510,52.65,12.7,32,1905000,78975,102667,2.0
Faisalabad,5,15,2,3,2,2,2,0,0,7,1914,10600,74.2,18.2,46,2730000,111300,144690,2.0
Quetta,4,19,2,0,0,1,1,1,3,11,600,2835,31.18,6.0,15,900000,46777,60810,1.6
Multan,4,18,1,3,2,3,1,1,1,13,1522,10970,142.61,29.7,75,4455000,213915,278089,1.7
Lahore,8,16,2,0,1,2,0,1,2,7,1982,4490,31.43,7.9,20,1185000,47145,61288,2.1
Peshawar,2,10,3,2,2,3,1,1,2,10,787,9700,97.0,23.3,59,3495000,145500,189150,2.0
Peshawar,1,19,1,1,2,1,2,1,1,17,1429,8060,137.02,32.9,83,4935000,205530,267189,2.0
Sialkot,3,4,3,0,2,3,2,1,1,16,1724,6985,111.76,28.5,72,4275000,167640,217932,2.1
Swat,9,4,3,1,1,4,1,1,3,11,1304,6935,76.28,20.7,52,3105000,114427,148755,2.3
Karachi,4,6,3,0,0,1,2,0,3,8,776,2540,20.32,4.6,12,690000,30480,39624,1.9
Hyderabad,5,13,2,0,2,4,2,0,1,17,1445,6470,109.99,25.5,64,3825000,164985,214480,1.9
Gujranwala,2,18,2,0,0,2,0,1,1,7,1400,1870,13.09,3.3,9,495000,19635,25525,2.1
Sialkot,4,7,3,0,1,2,2,0,1,16,1635,4255,68.08,17.4,44,2610000,102120,132756,2.1
Peshawar,2,19,3,0,0,3,1,1,1,11,1435,2635,28.98,7.0,18,1050000,43477,56520,2.0
Abbottabad,2,19,1,1,2,4,1,0,2,8,1160,7385,59.08,16.4,41,2460000,88620,115206,2.3
Islamabad,4,19,1,0,2,4,2,1,3,7,1108,7485,52.4,13.6,34,2040000,78592,102170,2.2
Multan,6,7,2,1,2,1,1,0,1,6,817,7155,42.93,8.9,23,1335000,64395,83713,1.7
Gujranwala,7,5,2,2,2,4,0,1,1,13,1520,9250,120.25,30.1,76,4515000,180375,234487,2.1
Sialkot,3,4,1,3,2,4,2,0,2,6,1421,10735,64.41,16.4,41,2460000,96615,125599,2.1
Multan,3,6,3,0,2,1,2,1,0,17,758,6615,112.46,23.4,59,3510000,168682,219287,1.7
Islamabad,6,14,2,3,1,1,2,0,1,10,529,8760,87.6,22.8,57,3420000,131400,170820,2.2
Sukkur,3,7,3,1,1,4,1,0,2,16,1491,5580,89.28,18.0,45,2700000,133920,174096,1.7
Islamabad,2,6,1,2,1,3,1,1,2,11,307,7340,80.74,21.0,53,3150000,121109,157443,2.2
Swat,8,11,2,2,0,1,2,0,0,16,1495,5165,82.64,22.5,57,3375000,123959,161148,2.3
Islamabad,5,17,2,2,0,1,1,0,3,17,1683,5130,87.21,22.7,57,3405000,130814,170059,2.2
Multan,1,13,1,3,1,4,1,0,3,17,494,8420,143.14,29.8,75,4470000,214710,279123,1.7
Rawalpindi,3,4,2,1,0,4,2,0,3,8,1592,4085,32.68,8.5,22,1275000,49020,63726,2.2
Multan,8,17,1,0,0,1,2,0,1,12,1342,2305,27.66,5.8,15,870000,41490,53937,1.7
Hyderabad,4,5,2,0,2,4,1,1,3,7,653,6925,48.48,11.2,28,1680000,72712,94526,1.9
Karachi,7,16,1,1,2,1,2,1,1,12,1372,8465,101.58,23.1,58,3465000,152370,198081,1.9
Faisalabad,2,10,2,3,0,3,2,0,1,7,763,6600,46.2,11.3,29,1695000,69299,90089,2.0
Rawalpindi,7,7,3,0,0,3,2,1,2,10,655,3530,35.3,9.2,23,1380000,52950,68835,2.2
Lahore,5,11,3,1,1,1,2,0,3,12,1149,6190,74.28,18.6,47,2790000,111420,144846,2.1
Faisalabad,5,14,3,0,0,1,1,1,3,16,1273,2985,47.76,11.7,30,1755000,71640,93132,2.0
Karachi,6,16,2,2,2,2,2,0,3,16,1481,9790,156.64,35.6,89,5340000,234960,305448,1.9
Sialkot,9,6,2,0,0,2,0,0,1,8,365,1465,11.72,3.0,8,450000,17580,22854,2.1
Gujranwala,6,9,3,3,1,4,2,0,1,16,1158,9135,146.16,36.5,92,5475000,219240,285012,2.1
Hyderabad,8,12,3,1,2,4,0,0,3,9,870,7730,69.57,16.1,41,2415000,104355,135661,1.9
Hyderabad,7,4,1,3,2,1,2,1,1,6,607,11285,67.71,15.7,40,2355000,101565,132034,1.9
Lahore,9,4,1,1,2,1,0,1,1,8,1660,7435,59.48,14.9,38,2235000,89220,115986,2.1
Rawalpindi,4,11,1,2,2,2,0,1,0,14,1994,8565,119.91,31.2,78,4680000,179865,233824,2.2
Swat,2,6,3,1,0,2,2,0,0,15,1082,3390,50.85,13.8,35,2070000,76275,99157,2.3
Bahawalpur,7,8,3,0,1,1,2,1,3,10,420,5545,55.45,11.4,29,1710000,83175,108127,1.7
Sukkur,6,4,3,0,0,3,2,1,3,13,1065,3610,46.93,9.5,24,1425000,70395,91513,1.7
Islamabad,1,8,1,2,0,3,0,0,0,7,1727,3645,25.52,6.6,17,990000,38272,49754,2.2
Rawalpindi,9,14,2,1,2,4,1,0,1,8,1072,7785,62.28,16.2,41,2430000,93420,121446,2.2
Gujranwala,9,19,3,2,1,1,1,0,1,12,1970,7210,86.52,21.6,54,3240000,129780,168714,2.1
Sukkur,2,9,2,0,2,1,2,1,2,15,1891,6835,102.52,20.7,52,3105000,153787,199923,1.7
Hyderabad,3,11,2,3,0,4,1,1,3,9,395,7440,66.96,15.5,39,2325000,100440,130572,1.9
Multan,5,16,2,2,0,2,1,0,3,14,1437,5215,73.01,15.2,38,2280000,109514,142369,1.7
Gujranwala,5,19,1,3,2,2,2,1,3,12,1286,11860,142.32,35.6,89,5340000,213479,277524,2.1
Karachi,1,19,2,3,0,3,0,0,2,16,1752,5860,93.76,21.3,54,3195000,140640,182832,1.9
Lahore,8,17,3,1,0,1,2,1,2,17,839,5055,85.94,21.5,54,3225000,128902,167573,2.1
Karachi,8,6,1,2,2,2,1,0,1,6,301,8740,52.44,11.9,30,1785000,78659,102257,1.9
Bahawalpur,4,6,3,3,0,3,0,1,0,9,1535,6390,57.51,11.8,30,1770000,86265,112144,1.7
Gujranwala,7,15,3,3,1,3,1,1,0,15,879,9250,138.75,34.7,87,5205000,208125,270562,2.1
Quetta,3,19,1,1,2,3,0,1,0,16,1963,7210,115.36,22.2,56,3330000,173040,224952,1.6
Quetta,6,14,3,1,1,2,1,0,1,11,632,5510,60.61,11.7,30,1755000,90915,118189,1.6
Sialkot,9,14,3,0,0,2,2,0,0,11,1347,2535,27.88,7.1,18,1065000,41827,54375,2.1
Rawalpindi,1,13,1,3,0,1,1,0,2,15,1691,5920,88.8,23.1,58,3465000,133200,173160,2.2
Hyderabad,5,12,3,0,2,1,1,1,2,11,1041,6755,74.3,17.2,43,2580000,111457,144894,1.9
Hyderabad,4,7,2,3,0,3,0,0,3,10,805,6105,61.05,14.1,36,2115000,91575,119047,1.9
Islamabad,8,18,3,0,2,3,1,1,0,8,1299,6870,54.96,14.3,36,2145000,82440,107172,2.2
Islamabad,1,7,2,1,2,2,2,0,2,7,1499,7580,53.06,13.8,35,2070000,79590,103467,2.2
Islamabad,9,15,3,2,2,2,2,0,3,8,1752,10150,81.2,21.1,53,3165000,121800,158340,2.2
Multan,6,10,1,1,2,1,2,1,0,14,1032,8100,113.4,23.6,59,3540000,170099,221129,1.7
Faisalabad,4,5,1,0,2,1,0,1,0,8,1765,5375,43.0,10.5,27,1575000,64500,83850,2.0
Peshawar,9,11,3,0,1,4,0,0,2,8,1871,4090,32.72,7.9,20,1185000,49079,63803,2.0
Faisalabad,5,9,1,2,2,1,1,0,3,6,813,8860,53.16,13.0,33,1950000,79740,103662,2.0
Karachi,5,6,3,3,1,2,1,1,3,7,1194,9465,66.26,15.1,38,2265000,99382,129197,1.9
Faisalabad,5,12,1,0,0,3,1,1,2,16,660,2655,42.48,10.4,26,1560000,63719,82836,2.0
Multan,1,8,2,0,2,4,0,0,2,17,573,5295,90.02,18.8,47,2820000,135022,175529,1.7
Sialkot,1,11,3,0,0,1,0,1,2,8,476,1940,15.52,4.0,10,600000,23280,30264,2.1
Karachi,8,10,2,2,2,1,1,0,0,7,1587,8650,60.55,13.8,35,2070000,90825,118072,1.9
Faisalabad,8,17,2,1,1,2,0,0,2,13,1509,5255,68.32,16.7,42,2505000,102472,133214,2.0
Multan,6,11,3,0,1,4,0,0,2,11,826,3865,42.52,8.9,23,1335000,63772,82904,1.7
Peshawar,4,10,2,2,1,1,2,1,1,12,1212,7800,93.6,22.5,57,3375000,140400,182520,2.0
Faisalabad,2,6,3,0,0,3,2,0,2,6,578,2390,14.34,3.5,9,525000,21510,27963,2.0
Multan,2,5,2,3,2,2,1,0,2,11,1005,10125,111.38,23.2,58,3480000,167062,217181,1.7
Bahawalpur,9,19,3,2,0,4,1,1,0,7,1521,6060,42.42,8.7,22,1305000,63629,82719,1.7
Islamabad,5,10,3,0,1,1,2,1,3,11,1672,5425,59.68,15.5,39,2325000,89512,116366,2.2
Bahawalpur,4,6,1,2,0,1,0,1,0,8,1744,4390,35.12,7.2,18,1080000,52679,68484,1.7
Hyderabad,1,6,3,0,1,4,1,0,1,12,1628,3715,44.58,10.3,26,1545000,66870,86931,1.9
Islamabad,7,5,3,1,1,2,1,1,2,8,363,6400,51.2,13.3,34,1995000,76800,99840,2.2
Hyderabad,3,7,2,0,1,4,1,1,2,14,589,4680,65.52,15.2,38,2280000,98280,127764,1.9
Abbottabad,6,19,3,2,2,4,0,0,2,8,317,8985,71.88,20.0,50,3000000,107819,140166,2.3
Lahore,5,11,1,3,2,2,2,0,2,12,363,10790,129.48,32.4,81,4860000,194219,252485,2.1
Bahawalpur,5,15,2,3,1,1,1,0,2,17,629,8400,142.8,29.3,74,4395000,214200,278460,1.7
Lahore,5,4,2,3,0,3,2,0,2,9,1062,6935,62.42,15.6,39,2340000,93622,121709,2.1
Lahore,1,4,1,0,0,2,2,1,1,13,1340,2435,31.66,7.9,20,1185000,47482,61727,2.1
Peshawar,1,15,2,1,2,3,0,0,2,7,742,6800,47.6,11.4,29,1710000,71400,92820,2.0
Islamabad,3,17,2,0,1,1,0,1,2,13,440,4030,52.39,13.6,34,2040000,78585,102160,2.2
Abbottabad,4,8,2,3,0,4,0,0,2,14,1631,6020,84.28,23.4,59,3510000,126420,164346,2.3
Hyderabad,5,14,2,2,1,3,0,0,1,13,743,6385,83.0,19.2,48,2880000,124507,161859,1.9
Multan,2,8,1,3,0,1,0,1,2,11,795,6170,67.87,14.1,36,2115000,101805,132346,1.7
Karachi,8,14,1,2,2,1,0,1,1,15,725,9010,135.15,30.7,77,4605000,202725,263542,1.9
Multan,2,15,2,1,1,4,1,1,0,6,1798,5825,34.95,7.3,19,1095000,52425,68152,1.7
Karachi,9,4,2,2,1,4,2,0,2,12,1568,7835,94.02,21.4,54,3210000,141030,183339,1.9
Bahawalpur,2,9,1,0,0,1,0,0,3,6,749,1135,6.81,1.4,4,210000,10215,13279,1.7
Quetta,9,4,1,0,0,1,1,1,1,12,650,2435,29.22,5.6,14,840000,43829,56978,1.6
Multan,7,8,1,0,0,3,2,1,0,7,898,2845,19.92,4.1,11,615000,29872,38834,1.7
Faisalabad,8,12,2,2,1,1,0,0,1,13,1010,6380,82.94,20.3,51,3045000,124409,161733,2.0
Faisalabad,2,15,2,0,2,1,0,1,1,7,1169,5725,40.07,9.8,25,1470000,60112,78146,2.0
Rawalpindi,7,17,3,0,2,3,1,1,0,8,1484,6780,54.24,14.1,36,2115000,81360,105768,2.2
Islamabad,6,8,1,0,0,2,2,0,2,17,1463,2320,39.44,10.3,26,1545000,59159,76908,2.2
Karachi,4,9,2,1,2,3,0,1,2,8,1816,7685,61.48,14.0,35,2100000,92220,119886,1.9
Karachi,7,11,1,2,0,3,2,0,1,6,1911,5340,32.04,7.3,19,1095000,48060,62478,1.9
Gujranwala,4,14,2,2,2,4,1,0,0,10,1854,8710,87.1,21.8,55,3270000,130650,169845,2.1
Sialkot,2,4,1,3,1,3,0,0,2,10,692,7560,75.6,19.3,49,2895000,113400,147420,2.1
Islamabad,7,17,2,2,0,1,2,1,1,15,1141,6130,91.95,23.9,60,3585000,137925,179302,2.2
Peshawar,8,5,3,1,2,1,1,1,3,10,700,8575,85.75,20.6,52,3090000,128625,167212,2.0
Rawalpindi,2,19,3,2,1,1,1,1,0,14,349,7235,101.29,26.4,66,3960000,151935,197515,2.2
Peshawar,5,12,1,1,2,2,0,1,3,11,1043,7755,85.3,20.5,52,3075000,127957,166344,2.0
Bahawalpur,1,6,2,1,1,1,2,0,3,11,1618,5665,62.32,12.8,32,1920000,93472,121514,1.7
Bahawalpur,7,9,2,2,1,2,0,0,1,8,1748,6360,50.88,10.4,26,1560000,76320,99216,1.7
Peshawar,8,8,1,3,2,1,0,1,0,10,1205,10220,102.2,24.6,62,3690000,153300,199290,2.0
Peshawar,6,14,2,0,2,3,2,1,2,15,1335,7410,111.15,26.7,67,4005000,166725,216742,2.0
Abbottabad,5,5,1,0,1,4,2,1,2,12,1658,5150,61.8,17.2,43,2580000,92700,120510,2.3
Islamabad,6,17,2,2,1,1,2,1,1,8,1290,8055,64.44,16.8,42,2520000,96659,125657,2.2
Peshawar,2,18,1,2,1,2,1,0,2,7,1338,6670,46.69,11.2,28,1680000,70034,91045,2.0
Faisalabad,1,10,2,1,0,2,1,1,2,10,327,3875,38.75,9.5,24,1425000,58125,75562,2.0
Sialkot,7,7,1,2,1,4,2,0,3,8,687,7780,62.24,15.9,40,2385000,93360,121368,2.1
Sialkot,7,4,2,1,0,1,1,1,3,10,1615,4335,43.35,11.1,28,1665000,65025,84532,2.1
Lahore,2,16,3,3,1,3,0,1,0,14,1132,8390,117.46,29.4,74,4410000,176190,229047,2.1
Quetta,2,7,2,2,0,1,2,1,3,16,549,6005,96.08,18.5,47,2775000,144120,187356,1.6
Bahawalpur,1,9,1,0,1,1,0,0,2,15,1828,2860,42.9,8.8,22,1320000,64350,83655,1.7
Karachi,8,10,3,0,1,4,2,1,0,6,397,5350,32.1,7.3,19,1095000,48149,62594,1.9
Gujranwala,8,18,2,2,1,1,0,0,0,9,1660,6270,56.43,14.1,36,2115000,84645,110038,2.1
Swat,1,10,3,1,2,3,2,0,1,15,1362,7675,115.12,31.3,79,4695000,172687,224493,2.3
Karachi,8,17,2,0,2,2,0,1,3,10,1361,6705,67.05,15.2,38,2280000,100575,130747,1.9
Quetta,9,10,3,1,1,4,2,0,0,7,1623,6175,43.22,8.3,21,1245000,64837,84288,1.6
Gujranwala,4,6,1,2,0,3,2,0,2,17,478,5240,89.08,22.3,56,3345000,133620,173706,2.1
Abbottabad,1,19,2,2,0,2,1,0,0,7,1932,4360,30.52,8.5,22,1275000,45780,59514,2.3
Islamabad,1,9,2,0,1,4,0,1,0,6,1191,3660,21.96,5.7,15,855000,32940,42822,2.2
Multan,3,16,1,2,2,4,1,0,1,13,1792,8715,113.3,23.6,59,3540000,169942,220925,1.7
Islamabad,5,11,3,3,0,2,0,0,2,7,1605,6090,42.63,11.1,28,1665000,63944,83128,2.2
Karachi,5,7,1,3,2,2,1,1,2,8,1049,10980,87.84,20.0,50,3000000,131760,171288,1.9
Karachi,9,16,1,0,0,3,2,1,3,17,1487,3715,63.16,14.4,36,2160000,94732,123152,1.9
Gujranwala,2,11,3,3,1,1,1,0,2,7,752,8265,57.86,14.5,37,2175000,86782,112817,2.1
Gujranwala,2,5,1,1,2,1,1,0,0,9,396,6475,58.28,14.6,37,2190000,87412,113636,2.1
Bahawalpur,6,18,2,0,0,1,2,0,2,6,608,2520,15.12,3.1,8,465000,22680,29484,1.7
Abbottabad,9,13,2,0,1,1,1,0,2,8,561,4170,33.36,9.3,24,1395000,50040,65052,2.3
Bahawalpur,1,12,2,1,1,1,2,1,0,10,592,5905,59.05,12.1,31,1815000,88575,115147,1.7
Quetta,9,12,1,3,1,3,0,1,1,15,548,8755,131.33,25.3,64,3795000,196987,256083,1.6
Peshawar,9,11,2,3,2,4,1,0,3,6,544,11140,66.84,16.1,41,2415000,100260,130338,2.0
Islamabad,9,13,2,3,2,3,2,1,3,9,550,12320,110.88,28.9,73,4335000,166319,216215,2.2
Gujranwala,5,17,2,0,1,3,2,0,1,11,422,4430,48.73,12.2,31,1830000,73095,95023,2.1
Hyderabad,9,16,2,0,2,3,1,1,0,9,624,6765,60.88,14.1,36,2115000,91327,118725,1.9
Quetta,4,13,2,3,0,4,0,1,3,12,1285,7045,84.54,16.3,41,2445000,126809,164853,1.6
Faisalabad,2,4,2,2,1,3,1,0,1,12,800,6510,78.12,19.1,48,2865000,117180,152334,2.0
Abbottabad,6,5,1,3,1,3,2,0,1,11,986,8675,95.43,26.5,67,3975000,143137,186078,2.3
Karachi,4,9,2,1,2,4,0,0,1,14,1389,6835,95.69,21.7,55,3255000,143535,186595,1.9
Bahawalpur,6,13,2,0,1,3,1,0,3,7,1135,4345,30.42,6.2,16,930000,45622,59309,1.7
Quetta,3,8,3,1,0,1,2,1,3,15,358,4745,71.18,13.7,35,2055000,106762,138791,1.6
Swat,6,15,1,1,2,2,1,1,3,13,1030,8375,108.88,29.6,74,4440000,163312,212306,2.3
Islamabad,2,17,1,0,2,3,0,0,3,13,1821,5455,70.92,18.5,47,2775000,106372,138284,2.2
Gujranwala,2,12,1,2,1,2,0,1,2,16,1696,6830,109.28,27.3,69,4095000,163920,213096,2.1
Karachi,9,8,1,3,1,3,0,1,1,15,565,8695,130.43,29.6,74,4440000,195637,254328,1.9
Multan,7,5,2,1,1,3,0,0,2,16,1976,5100,81.6,17.0,43,2550000,122400,159120,1.7
Swat,3,13,2,0,2,1,0,0,1,9,535,5020,45.18,12.3,31,1845000,67770,88101,2.3
Abbottabad,1,7,3,1,1,4,1,1,3,11,1197,6380,70.18,19.5,49,2925000,105269,136851,2.3
Quetta,8,12,3,3,0,2,0,0,3,16,517,6530,104.48,20.1,51,3015000,156720,203736,1.6
Rawalpindi,6,4,1,2,1,4,0,0,2,11,1850,6460,71.06,18.5,47,2775000,106590,138567,2.2
Karachi,7,14,3,2,1,1,2,1,0,10,1764,8035,80.35,18.3,46,2745000,120525,156682,1.9
Islamabad,9,4,3,2,2,1,0,1,3,6,1973,9635,57.81,15.1,38,2265000,86715,112729,2.2
Lahore,5,15,1,0,1,2,2,0,0,8,1729,3950,31.6,7.9,20,1185000,47400,61620,2.1
Hyderabad,1,10,1,0,2,4,2,1,1,12,1924,6725,80.7,18.7,47,2805000,121049,157364,1.9
Sukkur,7,14,3,2,1,1,2,0,2,13,1274,7685,99.9,20.1,51,3015000,149857,194814,1.7
Swat,5,6,2,3,0,3,1,0,0,7,888,6065,42.46,11.5,29,1725000,63682,82787,2.3
Peshawar,3,13,3,3,0,3,1,1,0,8,1971,6920,55.36,13.3,34,1995000,83040,107952,2.0
Sukkur,9,5,3,0,2,3,2,1,3,9,1216,7850,70.65,14.2,36,2130000,105974,137767,1.7
Islamabad,1,12,2,2,2,4,1,0,0,16,1792,8455,135.28,35.2,88,5280000,202920,263796,2.2
Faisalabad,1,6,2,3,1,3,0,0,0,10,1217,7265,72.65,17.8,45,2670000,108974,141667,2.0
Bahawalpur,1,19,1,3,1,3,1,0,1,8,1433,8010,64.08,13.1,33,1965000,96120,124956,1.7
Faisalabad,3,5,1,3,0,1,0,1,2,10,652,6200,62.0,15.2,38,2280000,93000,120900,2.0
Lahore,6,15,3,0,1,1,0,0,3,13,390,3825,49.72,12.4,31,1860000,74587,96963,2.1
Swat,3,11,2,2,0,3,1,1,3,13,1737,5840,75.92,20.6,52,3090000,113880,148044,2.3
Peshawar,8,13,1,1,2,3,1,0,0,7,1001,7245,50.72,12.2,31,1830000,76072,98894,2.0
Rawalpindi,2,9,3,2,1,1,2,1,1,11,372,7785,85.64,22.3,56,3345000,128452,166988,2.2
Lahore,9,9,2,2,2,2,1,0,0,9,984,8810,79.29,19.8,50,2970000,118935,154615,2.1
Swat,3,13,3,0,1,4,1,1,0,14,1870,4520,63.28,17.2,43,2580000,94920,123396,2.3
Sialkot,5,14,1,3,0,4,1,0,3,15,1021,6735,101.02,25.8,65,3870000,151537,196998,2.1
Sukkur,8,10,1,3,2,1,0,0,0,7,1621,9500,66.5,13.4,34,2010000,99750,129675,1.7
Lahore,2,10,2,0,2,4,0,0,0,13,1968,5000,65.0,16.2,41,2430000,97500,126750,2.1
Sukkur,6,14,3,0,1,1,0,0,1,6,1606,3410,20.46,4.1,11,615000,30690,39897,1.7
Karachi,5,16,2,0,2,1,2,1,3,16,1828,7365,117.84,26.8,67,4020000,176760,229788,1.9
Faisalabad,9,18,1,0,0,1,2,1,2,11,1521,3345,36.8,9.0,23,1350000,55192,71750,2.0
Karachi,5,9,1,0,2,1,2,1,1,16,1257,6710,107.36,24.4,61,3660000,161040,209352,1.9
Hyderabad,2,7,3,1,2,2,0,1,1,16,1355,7355,117.68,27.2,68,4080000,176520,229476,1.9
Sialkot,5,14,3,2,1,3,1,1,1,17,947,7785,132.34,33.8,85,5070000,198517,258072,2.1
Peshawar,4,12,3,2,2,3,2,0,3,15,1059,9830,147.45,35.4,89,5310000,221175,287527,2.0
Rawalpindi,7,9,2,2,1,2,2,1,0,6,1170,7910,47.46,12.4,31,1860000,71190,92547,2.2
